AirTC_Avg,BattV_Avg,DOY,DayofMonth,PAR_Den_Avg,PlotID,RH,Rain_mm_Tot,TIMESTAMP,TimeofDay,Year,B1_13849,B2_24304,VPD
23.38,13.66,141,20,21.3,101,60.91,0,05/20/2020 11:00,1100,2020,NaN,NaN,1.12370504747177
23,14.13,141,20,17.07,101,57.99,0,05/20/2020 11:30,1130,2020,NaN,NaN,1.18024474516901
23.34,13.88,141,20,23.98,101,61.11,0,05/20/2020 12:00,1200,2020,NaN,NaN,1.11526169725316
23.71,13.35,141,20,17.92,101,65.72,0,05/20/2020 12:30,1230,2020,NaN,NaN,1.0052167431277
23.4,13.33,141,20,14.82,101,58.98,0,05/20/2020 13:00,1300,2020,NaN,NaN,1.18060904280788
23.53,13.34,141,20,16.53,101,65.18,0,05/20/2020 13:30,1330,2020,NaN,NaN,1.01004769267599
23.6,13.34,141,20,11.94,101,61.25,0,05/20/2020 14:00,1400,2020,NaN,NaN,1.12879641263176
23.51,13.37,141,20,14.18,101,58.77,0,05/20/2020 14:30,1430,2020,NaN,NaN,1.19454683735414
22.97,13.37,141,20,5.958,101,65.04,0,05/20/2020 15:00,1500,2020,NaN,NaN,0.980398614455456
22.53,13.42,141,20,6.085,101,65.51,0,05/20/2020 15:30,1530,2020,NaN,NaN,0.941768853623075
22.69,13.46,141,20,5.656,101,60.81,0,05/20/2020 16:00,1600,2020,NaN,NaN,1.08054258133804
23.1,13.47,141,20,3.453,101,58.47,0,05/20/2020 16:30,1630,2020,NaN,NaN,1.17383515103203
23.24,13.47,141,20,2.009,101,60.1,0,05/20/2020 17:00,1700,2020,NaN,NaN,1.13734124392399
22.98,13.48,141,20,1.752,101,61.46,0,05/20/2020 17:30,1730,2020,NaN,NaN,1.08144815752092
22.68,13.53,141,20,1.337,101,67.67,0,05/20/2020 18:00,1800,2020,NaN,NaN,0.890859079781689
22.24,13.57,141,20,0.837,101,70.79,0,05/20/2020 18:30,1830,2020,NaN,NaN,0.783662122740742
20.38,13.42,141,20,0.273,101,81.3,0,05/20/2020 19:00,1900,2020,NaN,NaN,0.447650665034464
18.18,12.95,141,20,0.011,101,89.5,0,05/20/2020 19:30,1930,2020,NaN,NaN,0.219183825760861
17.03,12.9,141,20,0,101,92.4,0,05/20/2020 20:00,2000,2020,NaN,NaN,0.147547642876073
16.39,12.88,141,20,0,101,94.3,0,05/20/2020 20:30,2030,2020,NaN,NaN,0.10625249102684
15.86,12.86,141,20,0,101,96.9,0,05/20/2020 21:00,2100,2020,NaN,NaN,0.0558648099277696
16.38,12.85,141,20,0,101,96.3,0,05/20/2020 21:30,2130,2020,NaN,NaN,0.0689270087888762
15.86,12.84,141,20,0,101,98.1,0,05/20/2020 22:00,2200,2020,NaN,NaN,0.0342397222137944
15.3,12.83,141,20,0,101,98.5,0,05/20/2020 22:30,2230,2020,NaN,NaN,0.0260784584319192
15.25,12.83,141,20,0,101,97.6,0,05/20/2020 23:00,2300,2020,NaN,NaN,0.0415917249107912
14.78,12.82,141,20,0,101,98.8,0,05/20/2020 23:30,2330,2020,NaN,NaN,0.0201760992262565
14.56,12.81,142,21,0,101,99.2,0,05/21/2020 00:00,0,2020,NaN,NaN,0.0132610704875603
14.38,12.81,142,21,0,101,99.5,0,05/21/2020 00:30,30,2020,NaN,NaN,0.00819227565715402
14.33,12.81,142,21,0,101,99.5,0,05/21/2020 01:00,100,2020,NaN,NaN,0.00816581192381382
14.3,12.8,142,21,0,101,99.5,0,05/21/2020 01:30,130,2020,NaN,NaN,0.00814996970425137
13.93,12.8,142,21,0,101,99.3,0,05/21/2020 02:00,200,2020,NaN,NaN,0.0111395025997332
13.49,12.8,142,21,0,101,99.7,0,05/21/2020 02:30,230,2020,NaN,NaN,0.00463937792479703
13.9,12.79,142,21,0,101,99.7,0,05/21/2020 03:00,300,2020,NaN,NaN,0.00476478103386045
14.09,12.79,142,21,0,101,100,0,05/21/2020 03:30,330,2020,NaN,NaN,0
13.97,12.79,142,21,0,101,99.7,0,05/21/2020 04:00,400,2020,NaN,NaN,0.00478648594852058
13.58,12.78,142,21,0,101,99.4,0,05/21/2020 04:30,430,2020,NaN,NaN,0.00933330897614243
13.21,12.79,142,21,0.085,101,100,0,05/21/2020 05:00,500,2020,NaN,NaN,0
13.9,12.86,142,21,0.568,101,100,0,05/21/2020 05:30,530,2020,NaN,NaN,0
14.6,13.01,142,21,1.627,101,100,0,05/21/2020 06:00,600,2020,NaN,NaN,0
